date,position,strategy
2025-07-01,TP3,C
2025-07-02,TP2,F
2025-07-03,SL,A
2025-07-04,SL,C
2025-07-05,SL,E
2025-07-06,SL,A
2025-07-07,TP2,F
2025-07-08,TP3,H
2025-07-09,TP2,C
2025-07-10,TP8,F
2025-07-11,SL,D
2025-07-12,TP1,C
2025-07-13,TP2,F
2025-07-14,SL,C
2025-07-15,TP2,E
2025-07-16,SL,D
2025-07-17,TP2,B
2025-07-18,SL,C
2025-07-19,TP4,D
2025-07-20,TP10,E
2025-07-21,SL,H
2025-07-22,TP4,B
2025-07-23,TP3,A
2025-07-24,SL,B
2025-07-25,TP6,B
2025-07-26,SL,E
2025-07-27,TP3,A
2025-07-28,SL,B
2025-07-29,TP1,C
2025-07-30,SL,H
2025-07-31,TP2,G
2025-08-01,TP2,B
2025-08-02,TP2,D
2025-08-03,SL,D
2025-08-04,TP9,C
2025-08-05,SL,F
2025-08-06,TP3,E
2025-08-07,TP9,F
2025-08-08,TP6,C
2025-08-09,TP2,A
2025-08-10,SL,F
2025-08-11,TP2,A
2025-08-12,SL,C
2025-08-13,SL,C
2025-08-14,TP2,H
2025-08-15,TP3,F
2025-08-16,SL,A
2025-08-17,TP2,G
2025-08-18,TP2,B
2025-08-19,TP9,H
2025-08-20,TP2,H
2025-08-21,TP2,D
2025-08-22,SL,E
2025-08-23,TP1,E
2025-08-24,TP2,G
2025-08-25,SL,C
2025-08-26,TP2,F
2025-08-27,TP1,H
2025-08-28,TP13,A
2025-08-29,TP3,F
2025-08-30,SL,A
2025-08-31,TP2,A
2025-09-01,TP2,E
2025-09-02,TP3,B
2025-09-03,TP3,D
2025-09-04,SL,D
2025-09-05,TP3,G
2025-09-06,TP2,C
2025-09-07,SL,C
2025-09-08,SL,H
2025-09-09,TP2,C
2025-09-10,TP2,A
2025-09-11,TP2,E
2025-09-12,TP2,H
2025-09-13,SL,B
2025-09-14,TP2,F
2025-09-15,TP2,H
2025-09-16,TP10,B
2025-09-17,TP3,E
2025-09-18,SL,H
2025-09-19,TP2,B
2025-09-20,TP2,H
2025-09-21,TP1,D
2025-09-22,SL,H
2025-09-23,TP1,F
2025-09-24,TP2,H
2025-09-25,SL,B
2025-09-26,TP2,A
2025-09-27,SL,B
2025-09-28,TP1,C
2025-09-29,TP10,B
2025-09-30,SL,E
2025-10-01,TP1,F
2025-10-02,TP2,B
2025-10-03,TP2,B
2025-10-04,TP2,F
2025-10-05,TP1,G
2025-10-06,SL,A
2025-10-07,SL,G
2025-10-08,TP2,F
2025-10-09,TP2,G
2025-10-10,SL,D
2025-10-11,TP2,H
2025-10-12,TP2,C
2025-10-13,TP2,C
2025-10-14,TP3,H
2025-10-15,TP2,A
2025-10-16,TP1,C
2025-10-17,SL,G
2025-10-18,SL,B
2025-10-19,TP3,B
2025-10-20,SL,D
2025-10-21,TP9,C
2025-10-22,TP3,E
2025-10-23,SL,G
2025-10-24,TP2,G
2025-10-25,SL,B
2025-10-26,TP2,C
2025-10-27,TP2,B
2025-10-28,TP2,A
2025-10-29,TP2,C
2025-10-30,TP1,H
2025-10-31,TP2,D
2025-11-01,TP10,D
2025-11-02,TP14,G
2025-11-03,SL,H
2025-11-04,SL,H
2025-11-05,TP2,B
2025-11-06,TP4,E
2025-11-07,TP2,C
2025-11-08,TP2,F
2025-11-09,TP2,F
2025-11-10,TP2,E
2025-11-11,SL,A
2025-11-12,SL,E
2025-11-13,TP2,A
2025-11-14,SL,D
2025-11-15,TP2,H
2025-11-16,TP2,H
2025-11-17,TP2,B
2025-11-18,TP3,G
2025-11-19,SL,A
2025-11-20,TP2,C
2025-11-21,TP2,B
2025-11-22,TP4,G
2025-11-23,TP8,A
2025-11-24,TP3,B
2025-11-25,SL,B
2025-11-26,TP9,E
2025-11-27,TP3,G
2025-11-28,TP3,E
2025-11-29,TP2,F
2025-11-30,TP1,B
2025-12-01,TP10,B
2025-12-02,SL,H
2025-12-03,TP2,D
2025-12-04,TP2,H
2025-12-05,TP2,D
2025-12-06,TP3,B
2025-12-07,SL,D
2025-12-08,SL,F
2025-12-09,TP1,G
2025-12-10,TP2,H
2025-12-11,SL,D
2025-12-12,SL,A
2025-12-13,TP2,D
2025-12-14,SL,E
2025-12-15,SL,A
2025-12-16,TP7,B
2025-12-17,SL,B
2025-12-18,TP4,G
2025-12-19,TP3,E
2025-12-20,SL,C
2025-12-21,SL,E
2025-12-22,TP2,B
2025-12-23,TP15,G
2025-12-24,TP3,H
2025-12-25,TP2,H
2025-12-26,SL,B
2025-12-27,SL,A
2025-12-28,TP9,A
2025-12-29,TP3,F
2025-12-30,TP9,D
2025-12-31,TP2,D
2026-01-01,TP1,D
2026-01-02,TP6,B
2026-01-03,TP6,H
2026-01-04,SL,B
2026-01-05,TP5,H
2026-01-06,TP8,D
2026-01-07,TP1,H
2026-01-08,TP2,G
2026-01-09,TP3,E
2026-01-10,TP3,A
2026-01-11,SL,C
2026-01-12,TP4,F
2026-01-13,TP2,C
2026-01-14,SL,B
2026-01-15,SL,G
2026-01-16,TP1,B
2026-01-17,SL,F
2026-01-18,SL,C
2026-01-19,TP2,B
2026-01-20,TP2,A
2026-01-21,SL,D
2026-01-22,TP3,H
2026-01-23,SL,D
2026-01-24,TP19,D
2026-01-25,TP5,G
2026-01-26,SL,G
2026-01-27,TP3,B
2026-01-28,TP2,A
2026-01-29,SL,G
2026-01-30,TP2,H
2026-01-31,SL,A
